row,col,text_reads,nontext_reads,nontext_state_count
14,5,28,0,0
14,6,24,0,0
14,7,11,0,0
14,8,18,0,0
14,9,7,0,0
14,10,28,0,0
14,11,7,0,0
14,12,23,0,0
14,13,8,0,0
14,14,11,0,0
14,15,22,0,0
14,16,0,0,0
14,17,0,0,0
14,18,0,0,0
14,19,0,0,0
14,20,0,0,0
15,0,1,0,0
15,1,4,0,0
15,2,0,0,0
15,3,5,0,0
15,4,1,0,0
15,5,1,0,0
15,6,0,0,0
15,7,1,0,0
15,8,1,0,0
15,9,2,0,0
15,10,6,0,0
15,11,2,0,0
15,12,28,0,0
15,13,5,0,0
15,14,0,0,0
15,15,31,0,0
15,16,1,0,0
15,17,5,0,0
15,18,0,0,0
15,19,2,0,0
15,20,5,0,0
16,0,0,0,0
16,1,0,0,0
16,2,2,0,0
16,3,2,0,0
16,4,3,0,0
16,5,1,0,0
16,6,0,0,0
16,7,0,0,0
16,8,1,0,0
16,9,9,0,0
16,10,6,0,0
16,11,1,0,0
16,12,15,0,0
16,13,1,0,0
16,14,7,0,0
16,15,6,0,0
16,16,1,0,0
16,17,1,0,0
16,18,7,0,0
16,19,0,0,0
16,20,2,0,0
17,0,1,0,0
17,1,3,1,1
17,2,0,1,1
17,3,1,0,0
17,4,3,1,1
17,5,2,1,1
17,6,1,0,0
17,7,0,0,0
17,8,0,0,0
17,9,2,0,0
17,10,0,0,0
17,11,0,0,0
17,12,0,0,0
17,13,29,0,0
17,14,2,0,0
17,15,1,0,0
17,16,0,0,0
17,17,4,0,0
17,18,0,0,0
17,19,0,0,0
17,20,1,0,0
18,0,41,2548,372
18,1,78,2572,372
18,2,75,74,42
18,3,64,56,36
18,4,37,46,35
18,5,37,27,9
18,6,54,18,8
18,7,26,0,0
18,8,0,0,0
18,9,0,0,0
18,10,0,0,0
18,11,0,0,0
18,12,0,0,0
18,13,0,0,0
18,14,0,0,0
18,15,7,0,0
18,16,7,0,0
18,17,10,0,0
18,18,0,0,0
18,19,0,0,0
18,20,1,0,0
19,0,40,2548,372
19,1,77,2571,372
19,2,75,76,44
19,3,64,62,39
19,4,34,48,37
19,5,35,26,8
19,6,53,18,8
19,7,26,0,0
19,8,3,0,0
19,9,0,0,0
19,10,0,0,0
19,11,3,0,0
19,12,0,0,0
19,13,1,0,0
19,14,0,0,0
19,15,0,23,23
19,16,0,15,15
19,17,0,15,15
19,18,0,10,10
19,19,3,10,10
19,20,1,0,0
20,0,0,328,192
20,1,0,328,192
20,2,0,34,33
20,3,0,37,33
20,4,0,34,33
20,5,0,0,0
20,6,0,0,0
20,7,0,0,0
20,8,0,0,0
20,9,0,0,0
20,10,0,0,0
20,11,0,0,0
20,12,0,0,0
20,13,4,0,0
20,14,1,0,0
20,15,0,0,0
20,16,0,0,0
20,17,2,0,0
20,18,0,0,0
20,19,4,0,0
20,20,0,0,0
