pointer_offset,v319_value,v320_value,v320b_value,category,confirmed_text_pool
0x78540,0x801A7BF8,0xD31A7BF8,0x801A7BF8,unclassified_pointer,False
0x78544,0x801A7C00,0xD31A0A00,0x801A7C00,unclassified_pointer,False
0x78548,0x801A7C08,0xD31A0A08,0x801A7C08,unclassified_pointer,False
0x7854C,0x801A7C18,0xD31A0A9A,0x801A7C18,unclassified_pointer,False
0x78550,0x801A7C20,0xD31A0A20,0x801A7C20,unclassified_pointer,False
0x78554,0x801A7C28,0xD31A0A28,0x801A7C28,unclassified_pointer,False
0x78558,0x801A7C30,0xD31A0A30,0x801A7C30,unclassified_pointer,False
0x7855C,0x801A7C38,0xD31A0A38,0x801A7C38,unclassified_pointer,False
0x78560,0x801A7C40,0xD31A0AD2,0x801A7C40,unclassified_pointer,False
0x78564,0x801A7C48,0xD31A0A48,0x801A7C48,unclassified_pointer,False
0x78568,0x801A7C50,0xD31A0AAA,0x801A7C50,unclassified_pointer,False
0x7856C,0x801A7C58,0xD31A0A58,0x801A7C58,unclassified_pointer,False
0x78570,0x801A7C60,0xD31A0AD5,0x801A7C60,unclassified_pointer,False
0x78574,0x801A7C68,0xD31A0A38,0x801A7C68,unclassified_pointer,False
0x78578,0x801A7C70,0xD31A0A70,0x801A7C70,unclassified_pointer,False
0x7857C,0x801A7C78,0xD31A0A01,0x801A7C78,unclassified_pointer,False
0x78580,0x801A7C90,0xD31A0A90,0x801A7C90,unclassified_pointer,False
0x78584,0x801A7C98,0xD31A0A55,0x801A7C98,unclassified_pointer,False
0x78588,0x801A7CA0,0xD31A0AA0,0x801A7CA0,unclassified_pointer,False
0x7858C,0x801A7C80,0xD31A0AD3,0x801A7C80,unclassified_pointer,False
0x78590,0x801A7C88,0xD31A0A3D,0x801A7C88,unclassified_pointer,False
0x78594,0x801A7CA8,0xD31A0A67,0x801A7CA8,unclassified_pointer,False
0x78598,0x801A7CB0,0xD31A0AB0,0x801A7CB0,unclassified_pointer,False
0x7859C,0x801A7CB8,0xD31A0A99,0x801A7CB8,unclassified_pointer,False
0x785A0,0x801A7CC0,0xD31A0AC0,0x801A7CC0,unclassified_pointer,False
0x785A4,0x801A7CC8,0xD31A0A6F,0x801A7CC8,unclassified_pointer,False
0x785A8,0x801A7C10,0xD31A0A10,0x801A7C10,unclassified_pointer,False
0x785AC,0x801A7CD0,0xD31A0AD0,0x801A7CD0,unclassified_pointer,False
0x785B0,0x801A7CD8,0xD31A0AD8,0x801A7CD8,unclassified_pointer,False
0x785B4,0x801A7CE0,0xD31A7CE0,0x801A7CE0,unclassified_pointer,False
0x785B8,0x801A7CE8,0xD31A7CE8,0x801A7CE8,unclassified_pointer,False
0x785BC,0x801A7CF0,0xD31A7CF0,0x801A7CF0,unclassified_pointer,False
0x785C0,0x801A7CF8,0xD31A7CF8,0x801A7CF8,unclassified_pointer,False
0x785C4,0x801A7D00,0xD31A7D00,0x801A7D00,unclassified_pointer,False
0x785C8,0x801A7D08,0xD31A7D08,0x801A7D08,unclassified_pointer,False
0x785CC,0x801A7D10,0xD31A7D10,0x801A7D10,unclassified_pointer,False
0x785D0,0x801A7F38,0xD31A7F38,0x801A7F38,unclassified_pointer,False
0x785D4,0x801A7F30,0xD31A7F30,0x801A7F30,unclassified_pointer,False
0x785D8,0x801A7F40,0xD31A7FD2,0x801A7F40,unclassified_pointer,False
0x785DC,0x801A7F48,0xD31A7F48,0x801A7F48,unclassified_pointer,False
0x785E0,0x801A7F58,0xD31A7F58,0x801A7F58,unclassified_pointer,False
0x785E4,0x801A7F50,0xD31A7FAA,0x801A7F50,unclassified_pointer,False
0x785E8,0x801A7F60,0xD31A7FD5,0x801A7F60,unclassified_pointer,False
0x785F0,0x80123858,0xD34A3858,0x80123858,unclassified_pointer,False
0x785F4,0x80123B6C,0xD34A3B39,0x80123B6C,unclassified_pointer,False
0x785FC,0x80123858,0xD34A3858,0x80123858,unclassified_pointer,False
0x78600,0x80123B6C,0xD34A3B39,0x80123B6C,unclassified_pointer,False
0x78608,0x80123858,0xD34A3858,0x80123858,unclassified_pointer,False
0x7860C,0x80123B6C,0xD34A3B39,0x80123B6C,unclassified_pointer,False
0x78614,0x80123858,0xD34A3858,0x80123858,unclassified_pointer,False
0x78618,0x80123B6C,0xD34A3B39,0x80123B6C,unclassified_pointer,False
0x78620,0x80123858,0xD34A3858,0x80123858,unclassified_pointer,False
0x78624,0x80123B6C,0xD34A3B39,0x80123B6C,unclassified_pointer,False
0x7862C,0x80123AC0,0xD34AA1C0,0x80123AC0,unclassified_pointer,False
0x78630,0x80123B90,0xD34A3B90,0x80123B90,unclassified_pointer,False
0x78638,0x80123858,0xD34A3858,0x80123858,unclassified_pointer,False
0x7863C,0x80123B6C,0xD34A3B39,0x80123B6C,unclassified_pointer,False
0x78654,0x801237F4,0xD34A37F4,0x801237F4,unclassified_pointer,False
0x7865C,0x80192DF0,0xD3102DF0,0x80192DF0,unclassified_pointer,False
0x78664,0x8016D750,0xD39ED7AA,0x8016D750,unclassified_pointer,False
0x7866C,0x80192DF0,0xD3102DF0,0x80192DF0,unclassified_pointer,False
0x78674,0x801A7BF0,0xD31A7BF0,0x801A7BF0,unclassified_pointer,False
0x78678,0x801A7BF8,0xD31A7BF8,0x801A7BF8,unclassified_pointer,False
0x7867C,0x801A7C00,0xD31A0A00,0x801A7C00,unclassified_pointer,False
0x78680,0x801A7C08,0xD31A0A08,0x801A7C08,unclassified_pointer,False
0x78684,0x801A7C18,0xD31A0A9A,0x801A7C18,unclassified_pointer,False
0x78688,0x801A7C20,0xD31A0A20,0x801A7C20,unclassified_pointer,False
0x7868C,0x801A7C28,0xD31A0A28,0x801A7C28,unclassified_pointer,False
0x78690,0x801A7C30,0xD31A0A30,0x801A7C30,unclassified_pointer,False
0x78694,0x801A7C38,0xD31A0A38,0x801A7C38,unclassified_pointer,False
0x78698,0x801A7C40,0xD31A0AD2,0x801A7C40,unclassified_pointer,False
0x7869C,0x801A7C48,0xD31A0A48,0x801A7C48,unclassified_pointer,False
0x786A0,0x801A7C50,0xD31A0AAA,0x801A7C50,unclassified_pointer,False
0x786A4,0x801A7C58,0xD31A0A58,0x801A7C58,unclassified_pointer,False
0x786A8,0x801A7C60,0xD31A0AD5,0x801A7C60,unclassified_pointer,False
0x786AC,0x801A7C68,0xD31A0A38,0x801A7C68,unclassified_pointer,False
0x786B0,0x801A7C70,0xD31A0A70,0x801A7C70,unclassified_pointer,False
0x786B4,0x801A7C78,0xD31A0A01,0x801A7C78,unclassified_pointer,False
0x786B8,0x801A7C90,0xD31A0A90,0x801A7C90,unclassified_pointer,False
0x786BC,0x801A7C98,0xD31A0A55,0x801A7C98,unclassified_pointer,False
0x786C0,0x801A7CA0,0xD31A0AA0,0x801A7CA0,unclassified_pointer,False
0x786C4,0x801A7C80,0xD31A0AD3,0x801A7C80,unclassified_pointer,False
0x786C8,0x801A7C88,0xD31A0A3D,0x801A7C88,unclassified_pointer,False
0x786CC,0x801A7CA8,0xD31A0A67,0x801A7CA8,unclassified_pointer,False
0x786D0,0x801A7CB0,0xD31A0AB0,0x801A7CB0,unclassified_pointer,False
0x786D4,0x801A7CB8,0xD31A0A99,0x801A7CB8,unclassified_pointer,False
0x786D8,0x801A7CC0,0xD31A0AC0,0x801A7CC0,unclassified_pointer,False
0x786DC,0x801A7CC8,0xD31A0A6F,0x801A7CC8,unclassified_pointer,False
0x786E0,0x801A7C10,0xD31A0A10,0x801A7C10,unclassified_pointer,False
0x786E4,0x801A7CD0,0xD31A0AD0,0x801A7CD0,unclassified_pointer,False
0x786E8,0x801A7CD8,0xD31A0AD8,0x801A7CD8,unclassified_pointer,False
0x786EC,0x801A7CE0,0xD31A7CE0,0x801A7CE0,unclassified_pointer,False
0x786F0,0x801A7CE8,0xD31A7CE8,0x801A7CE8,unclassified_pointer,False
0x786F4,0x801A7CF0,0xD31A7CF0,0x801A7CF0,unclassified_pointer,False
0x786F8,0x801A7CF8,0xD31A7CF8,0x801A7CF8,unclassified_pointer,False
0x786FC,0x801A7D00,0xD31A7D00,0x801A7D00,unclassified_pointer,False
0x78700,0x801A7D08,0xD31A7D08,0x801A7D08,unclassified_pointer,False
0x78704,0x801A7D10,0xD31A7D10,0x801A7D10,unclassified_pointer,False
0x7870C,0x801A7F78,0xD31A7F01,0x801A7F78,unclassified_pointer,False
0x78710,0x801A7F80,0xD31A7FD3,0x801A7F80,unclassified_pointer,False
0x78718,0x801A7F90,0xD31A7F90,0x801A7F90,unclassified_pointer,False
0x7871C,0x801A7F98,0xD31A7F55,0x801A7F98,unclassified_pointer,False
0x78734,0x80123858,0xD34A3858,0x80123858,unclassified_pointer,False
0x78738,0x80123B6C,0xD34A3B39,0x80123B6C,unclassified_pointer,False
0x78740,0x80123858,0xD34A3858,0x80123858,unclassified_pointer,False
0x78744,0x80123B6C,0xD34A3B39,0x80123B6C,unclassified_pointer,False
0x7874C,0x80123858,0xD34A3858,0x80123858,unclassified_pointer,False
0x78750,0x80123B6C,0xD34A3B39,0x80123B6C,unclassified_pointer,False
0x78758,0x80123858,0xD34A3858,0x80123858,unclassified_pointer,False
0x7875C,0x80123B6C,0xD34A3B39,0x80123B6C,unclassified_pointer,False
0x78764,0x80123858,0xD34A3858,0x80123858,unclassified_pointer,False
0x78768,0x80123B6C,0xD34A3B39,0x80123B6C,unclassified_pointer,False
0x78770,0x80123858,0xD34A3858,0x80123858,unclassified_pointer,False
0x78774,0x80123B6C,0xD34A3B39,0x80123B6C,unclassified_pointer,False
0x7877C,0x80123858,0xD34A3858,0x80123858,unclassified_pointer,False
0x78780,0x80123B6C,0xD34A3B39,0x80123B6C,unclassified_pointer,False
0x78788,0x80123858,0xD34A3858,0x80123858,unclassified_pointer,False
0x7878C,0x80123B6C,0xD34A3B39,0x80123B6C,unclassified_pointer,False
0x78798,0x801237F4,0xD34A37F4,0x801237F4,unclassified_pointer,False
0x787A0,0x80192F34,0xD3102F34,0x80192F34,unclassified_pointer,False
0x787A8,0x8016D750,0xD39ED7AA,0x8016D750,unclassified_pointer,False
0x787B0,0x80192F34,0xD3102F34,0x80192F34,unclassified_pointer,False
0x787B8,0x801A7BF0,0xD31A7BF0,0x801A7BF0,unclassified_pointer,False
0x787BC,0x801A7BF8,0xD31A7BF8,0x801A7BF8,unclassified_pointer,False
0x787C0,0x801A7C00,0xD31A0A00,0x801A7C00,unclassified_pointer,False
0x787C4,0x801A7C08,0xD31A0A08,0x801A7C08,unclassified_pointer,False
0x787C8,0x801A7C18,0xD31A0A9A,0x801A7C18,unclassified_pointer,False
0x787CC,0x801A7C20,0xD31A0A20,0x801A7C20,unclassified_pointer,False
0x787D0,0x801A7C28,0xD31A0A28,0x801A7C28,unclassified_pointer,False
0x787D4,0x801A7C30,0xD31A0A30,0x801A7C30,unclassified_pointer,False
0x787D8,0x801A7C38,0xD31A0A38,0x801A7C38,unclassified_pointer,False
0x787DC,0x801A7C40,0xD31A0AD2,0x801A7C40,unclassified_pointer,False
0x787E0,0x801A7C48,0xD31A0A48,0x801A7C48,unclassified_pointer,False
0x787E4,0x801A7C50,0xD31A0AAA,0x801A7C50,unclassified_pointer,False
0x787E8,0x801A7C58,0xD31A0A58,0x801A7C58,unclassified_pointer,False
0x787EC,0x801A7C60,0xD31A0AD5,0x801A7C60,unclassified_pointer,False
0x787F0,0x801A7C68,0xD31A0A38,0x801A7C68,unclassified_pointer,False
0x787F4,0x801A7C70,0xD31A0A70,0x801A7C70,unclassified_pointer,False
0x787F8,0x801A7C78,0xD31A0A01,0x801A7C78,unclassified_pointer,False
0x787FC,0x801A7C90,0xD31A0A90,0x801A7C90,unclassified_pointer,False
0x78800,0x801A7C98,0xD31A0A55,0x801A7C98,unclassified_pointer,False
0x78804,0x801A7CA0,0xD31A0AA0,0x801A7CA0,unclassified_pointer,False
0x78808,0x801A7C80,0xD31A0AD3,0x801A7C80,unclassified_pointer,False
0x7880C,0x801A7C88,0xD31A0A3D,0x801A7C88,unclassified_pointer,False
0x78810,0x801A7CA8,0xD31A0A67,0x801A7CA8,unclassified_pointer,False
0x78814,0x801A7CB0,0xD31A0AB0,0x801A7CB0,unclassified_pointer,False
0x78818,0x801A7CB8,0xD31A0A99,0x801A7CB8,unclassified_pointer,False
0x7881C,0x801A7CC0,0xD31A0AC0,0x801A7CC0,unclassified_pointer,False
0x78820,0x801A7CC8,0xD31A0A6F,0x801A7CC8,unclassified_pointer,False
0x78824,0x801A7C10,0xD31A0A10,0x801A7C10,unclassified_pointer,False
0x78828,0x801A7CD0,0xD31A0AD0,0x801A7CD0,unclassified_pointer,False
0x7882C,0x801A7CD8,0xD31A0AD8,0x801A7CD8,unclassified_pointer,False
0x78830,0x801A7CE0,0xD31A7CE0,0x801A7CE0,unclassified_pointer,False
0x78834,0x801A7CE8,0xD31A7CE8,0x801A7CE8,unclassified_pointer,False
0x78838,0x801A7CF0,0xD31A7CF0,0x801A7CF0,unclassified_pointer,False
0x7883C,0x801A7CF8,0xD31A7CF8,0x801A7CF8,unclassified_pointer,False
0x78840,0x801A7D00,0xD31A7D00,0x801A7D00,unclassified_pointer,False
0x78844,0x801A7D08,0xD31A7D08,0x801A7D08,unclassified_pointer,False
0x78848,0x801A7D10,0xD31A7D10,0x801A7D10,unclassified_pointer,False
0x7884C,0x801A7FB0,0xD31A7FB0,0x801A7FB0,unclassified_pointer,False
0x78850,0x801A7FB8,0xD31A7F99,0x801A7FB8,unclassified_pointer,False
0x78854,0x801A7FC8,0xD31A7F6F,0x801A7FC8,unclassified_pointer,False
0x7885C,0x801A7FD0,0xD31A7FD0,0x801A7FD0,unclassified_pointer,False
0x78864,0x801A7FE0,0xD31A7FE0,0x801A7FE0,unclassified_pointer,False
0x78868,0x801A7FE8,0xD31A7FE8,0x801A7FE8,unclassified_pointer,False
0x7886C,0x80123AC0,0xD34AA1C0,0x80123AC0,unclassified_pointer,False
0x78870,0x80123B90,0xD34A3B90,0x80123B90,unclassified_pointer,False
0x78878,0x80123AC0,0xD34AA1C0,0x80123AC0,unclassified_pointer,False
0x7887C,0x80123B90,0xD34A3B90,0x80123B90,unclassified_pointer,False
0x78884,0x80123AC0,0xD34AA1C0,0x80123AC0,unclassified_pointer,False
0x78888,0x80123B90,0xD34A3B90,0x80123B90,unclassified_pointer,False
0x78890,0x80123AC0,0xD34AA1C0,0x80123AC0,unclassified_pointer,False
0x78894,0x80123B90,0xD34A3B90,0x80123B90,unclassified_pointer,False
0x7889C,0x80123AC0,0xD34AA1C0,0x80123AC0,unclassified_pointer,False
0x788A0,0x80123B90,0xD34A3B90,0x80123B90,unclassified_pointer,False
0x788A8,0x80123AC0,0xD34AA1C0,0x80123AC0,unclassified_pointer,False
0x788AC,0x80123B90,0xD34A3B90,0x80123B90,unclassified_pointer,False
0x788B4,0x80123858,0xD34A3858,0x80123858,unclassified_pointer,False
0x788B8,0x80123B6C,0xD34A3B39,0x80123B6C,unclassified_pointer,False
0x788C0,0x80123AC0,0xD34AA1C0,0x80123AC0,unclassified_pointer,False
0x788C4,0x80123B90,0xD34A3B90,0x80123B90,unclassified_pointer,False
